step val_mae val_rmse train_loss
0 61.8996 62.1713 32.2839
10000 1.58902 2.15545 6.82058
20000 1.2324 1.75713 2.01637
30000 1.05952 1.60276 1.6583
40000 0.962129 1.51128 1.47654
50000 0.895694 1.47242 1.3536
60000 0.838774 1.45528 1.2414
70000 0.792297 1.46215 1.12691
80000 0.757672 1.46565 1.02115
90000 0.734355 1.46445 0.939315
100000 0.717948 1.45724 0.880733
110000 0.706292 1.45189 0.836577
120000 0.693554 1.43452 0.799182
130000 0.679612 1.40573 0.765697
140000 0.669282 1.39393 0.735134
150000 0.658471 1.37489 0.706637
160000 0.65325 1.37305 0.677747
170000 0.640903 1.34955 0.651331
180000 0.63066 1.33082 0.625304
190000 0.622543 1.31824 0.600457
200000 0.614476 1.3042 0.575689
210000 0.6066 1.29053 0.553232
220000 0.596668 1.26902 0.53186
230000 0.589149 1.254 0.51147
240000 0.584445 1.2498 0.492029
250000 0.576512 1.23344 0.474756
260000 0.570866 1.22268 0.458315
270000 0.562356 1.19444 0.443078
280000 0.557809 1.19525 0.42923
290000 0.550447 1.1757 0.414803
300000 0.546893 1.17248 0.401977
310000 0.540583 1.15786 0.390327
320000 0.534869 1.14372 0.378918
330000 0.534435 1.14582 0.367866
340000 0.52492 1.1222 0.357082
350000 0.523204 1.12128 0.347045
360000 0.518169 1.11029 0.337498
370000 0.511104 1.09117 0.327793
380000 0.508501 1.08842 0.319096
390000 0.503898 1.07767 0.310011
400000 0.498208 1.06229 0.30137
410000 0.494488 1.05516 0.292779
420000 0.49059 1.04604 0.284618
430000 0.485682 1.03246 0.27648
440000 0.484039 1.03151 0.268696
450000 0.477815 1.01566 0.260468
460000 0.474095 1.00801 0.253327
470000 0.471714 1.00298 0.245484
480000 0.467128 0.99278 0.238228
490000 0.46287 0.982186 0.231084
500000 0.458969 0.973029 0.223731
510000 0.454092 0.959468 0.216657
520000 0.452774 0.958943 0.209473
530000 0.451156 0.954221 0.203029
540000 0.444478 0.939432 0.195674
550000 0.43913 0.922301 0.189184
560000 0.438192 0.924462 0.182835
570000 0.432597 0.910687 0.176334
580000 0.42925 0.9031 0.169603
590000 0.425016 0.891642 0.163187
600000 0.424095 0.890938 0.157337
610000 0.41832 0.875144 0.150913
620000 0.416834 0.873585 0.145005
630000 0.411876 0.861585 0.139295
640000 0.409149 0.855174 0.133096
650000 0.407331 0.850431 0.127388
660000 0.403066 0.840251 0.122804
670000 0.401499 0.835765 0.116601
680000 0.399651 0.829975 0.111418
690000 0.392837 0.814917 0.106121
699999 0.387677 0.799302 0.101586
