2022-12-09 05:15:16,058 [INFO ]  loading data ../qm9.db
2022-12-09 06:15:41,624 [INFO ]  Computing mean and variance
2022-12-09 06:15:42,929 [DEBUG]  target_mean=-74.856110, target_stddev=5.945688
2022-12-09 06:15:43,000 [INFO ]  start training
2022-12-09 06:15:45,945 [INFO ]  step=0, val_mae=61.8996, val_rmse=62.1713, train_loss=32.2839
2022-12-09 06:20:07,140 [INFO ]  step=10000, val_mae=1.58902, val_rmse=2.15545, train_loss=6.82058
2022-12-09 06:24:26,210 [INFO ]  step=20000, val_mae=1.2324, val_rmse=1.75713, train_loss=2.01637
2022-12-09 06:28:42,683 [INFO ]  step=30000, val_mae=1.05952, val_rmse=1.60276, train_loss=1.6583
2022-12-09 06:32:57,076 [INFO ]  step=40000, val_mae=0.962129, val_rmse=1.51128, train_loss=1.47654
2022-12-09 06:37:10,762 [INFO ]  step=50000, val_mae=0.895694, val_rmse=1.47242, train_loss=1.3536
2022-12-09 06:41:23,913 [INFO ]  step=60000, val_mae=0.838774, val_rmse=1.45528, train_loss=1.2414
2022-12-09 06:45:37,073 [INFO ]  step=70000, val_mae=0.792297, val_rmse=1.46215, train_loss=1.12691
2022-12-09 06:49:50,465 [INFO ]  step=80000, val_mae=0.757672, val_rmse=1.46565, train_loss=1.02115
2022-12-09 06:54:03,705 [INFO ]  step=90000, val_mae=0.734355, val_rmse=1.46445, train_loss=0.939315
2022-12-09 06:58:17,392 [INFO ]  step=100000, val_mae=0.717948, val_rmse=1.45724, train_loss=0.880733
2022-12-09 07:02:31,231 [INFO ]  step=110000, val_mae=0.706292, val_rmse=1.45189, train_loss=0.836577
2022-12-09 07:06:45,026 [INFO ]  step=120000, val_mae=0.693554, val_rmse=1.43452, train_loss=0.799182
2022-12-09 07:10:58,511 [INFO ]  step=130000, val_mae=0.679612, val_rmse=1.40573, train_loss=0.765697
2022-12-09 07:15:11,645 [INFO ]  step=140000, val_mae=0.669282, val_rmse=1.39393, train_loss=0.735134
2022-12-09 07:19:24,896 [INFO ]  step=150000, val_mae=0.658471, val_rmse=1.37489, train_loss=0.706637
2022-12-09 07:23:38,229 [INFO ]  step=160000, val_mae=0.65325, val_rmse=1.37305, train_loss=0.677747
2022-12-09 07:27:51,558 [INFO ]  step=170000, val_mae=0.640903, val_rmse=1.34955, train_loss=0.651331
2022-12-09 07:32:04,780 [INFO ]  step=180000, val_mae=0.63066, val_rmse=1.33082, train_loss=0.625304
2022-12-09 07:36:18,801 [INFO ]  step=190000, val_mae=0.622543, val_rmse=1.31824, train_loss=0.600457
2022-12-09 07:40:32,441 [INFO ]  step=200000, val_mae=0.614476, val_rmse=1.3042, train_loss=0.575689
2022-12-09 07:44:46,885 [INFO ]  step=210000, val_mae=0.6066, val_rmse=1.29053, train_loss=0.553232
2022-12-09 07:49:00,777 [INFO ]  step=220000, val_mae=0.596668, val_rmse=1.26902, train_loss=0.53186
2022-12-09 07:53:14,350 [INFO ]  step=230000, val_mae=0.589149, val_rmse=1.254, train_loss=0.51147
2022-12-09 07:57:28,059 [INFO ]  step=240000, val_mae=0.584445, val_rmse=1.2498, train_loss=0.492029
2022-12-09 08:01:41,915 [INFO ]  step=250000, val_mae=0.576512, val_rmse=1.23344, train_loss=0.474756
2022-12-09 08:05:56,248 [INFO ]  step=260000, val_mae=0.570866, val_rmse=1.22268, train_loss=0.458315
2022-12-09 08:10:10,164 [INFO ]  step=270000, val_mae=0.562356, val_rmse=1.19444, train_loss=0.443078
2022-12-09 08:14:24,422 [INFO ]  step=280000, val_mae=0.557809, val_rmse=1.19525, train_loss=0.42923
2022-12-09 08:18:38,739 [INFO ]  step=290000, val_mae=0.550447, val_rmse=1.1757, train_loss=0.414803
2022-12-09 08:22:52,351 [INFO ]  step=300000, val_mae=0.546893, val_rmse=1.17248, train_loss=0.401977
2022-12-09 08:27:06,446 [INFO ]  step=310000, val_mae=0.540583, val_rmse=1.15786, train_loss=0.390327
2022-12-09 08:31:20,046 [INFO ]  step=320000, val_mae=0.534869, val_rmse=1.14372, train_loss=0.378918
2022-12-09 08:35:33,903 [INFO ]  step=330000, val_mae=0.534435, val_rmse=1.14582, train_loss=0.367866
2022-12-09 08:39:48,069 [INFO ]  step=340000, val_mae=0.52492, val_rmse=1.1222, train_loss=0.357082
2022-12-09 08:44:02,140 [INFO ]  step=350000, val_mae=0.523204, val_rmse=1.12128, train_loss=0.347045
2022-12-09 08:48:13,955 [INFO ]  step=360000, val_mae=0.518169, val_rmse=1.11029, train_loss=0.337498
2022-12-09 08:52:25,265 [INFO ]  step=370000, val_mae=0.511104, val_rmse=1.09117, train_loss=0.327793
2022-12-09 08:56:37,203 [INFO ]  step=380000, val_mae=0.508501, val_rmse=1.08842, train_loss=0.319096
2022-12-09 09:00:48,672 [INFO ]  step=390000, val_mae=0.503898, val_rmse=1.07767, train_loss=0.310011
2022-12-09 09:05:00,467 [INFO ]  step=400000, val_mae=0.498208, val_rmse=1.06229, train_loss=0.30137
2022-12-09 09:09:12,383 [INFO ]  step=410000, val_mae=0.494488, val_rmse=1.05516, train_loss=0.292779
2022-12-09 09:13:24,154 [INFO ]  step=420000, val_mae=0.49059, val_rmse=1.04604, train_loss=0.284618
2022-12-09 09:17:36,020 [INFO ]  step=430000, val_mae=0.485682, val_rmse=1.03246, train_loss=0.27648
2022-12-09 09:21:47,676 [INFO ]  step=440000, val_mae=0.484039, val_rmse=1.03151, train_loss=0.268696
2022-12-09 09:25:59,155 [INFO ]  step=450000, val_mae=0.477815, val_rmse=1.01566, train_loss=0.260468
2022-12-09 09:30:11,076 [INFO ]  step=460000, val_mae=0.474095, val_rmse=1.00801, train_loss=0.253327
2022-12-09 09:34:22,996 [INFO ]  step=470000, val_mae=0.471714, val_rmse=1.00298, train_loss=0.245484
2022-12-09 09:38:34,473 [INFO ]  step=480000, val_mae=0.467128, val_rmse=0.99278, train_loss=0.238228
2022-12-09 09:42:49,222 [INFO ]  step=490000, val_mae=0.46287, val_rmse=0.982186, train_loss=0.231084
2022-12-09 09:47:03,173 [INFO ]  step=500000, val_mae=0.458969, val_rmse=0.973029, train_loss=0.223731
2022-12-09 09:51:14,731 [INFO ]  step=510000, val_mae=0.454092, val_rmse=0.959468, train_loss=0.216657
